No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use RenderFragment for child content,RenderFragment enables component composition via child content,RenderFragment for flexible templates,Hardcoded markup inside components,@ChildContent (RenderFragment parameter),Static HTML inside component,Medium,https://learn.microsoft.com/aspnet/core/blazor/components/#child-content-render-fragments
2,Components,Use cascading parameters for cross-cutting data,CascadingValue passes data to descendants without explicit props,CascadingValue for theme and auth,Cascade frequently changing values,<CascadingValue Value="theme">,Pass theme through every component,Medium,https://learn.microsoft.com/aspnet/core/blazor/components/cascading-values-and-parameters
3,Components,Prefer EventCallback over Action,EventCallback triggers UI update after invocation and supports async,EventCallback for parent-child events,Action delegates for component events,EventCallback<string> OnClick,Action<string> OnClick,High,https://learn.microsoft.com/aspnet/core/blazor/components/event-handling#eventcallback
4,Components,Keep components small and focused,Single responsibility per component,Extract reusable components,Monolithic page components,<UserAvatar /> <UserName />,One component with 500 lines,Medium,
5,Components,Use generic type parameters,Generics enable reusable typed components,@typeparam TItem for data components,Duplicate components for each type,@typeparam TItem with List<TItem>,Separate IntList StringList components,Medium,https://learn.microsoft.com/aspnet/core/blazor/components/generic-type-support
6,Components,Set sensible parameter defaults,Provide default values for optional parameters,Default values for optional parameters,Required parameters for optional config,[Parameter] public string Size { get; set; } = "md";,[Parameter] public string Size { get; set; },Low,
7,Components,Use CascadingValue for theming and auth,Wrap app in CascadingValue for global state,CascadingValue for auth state and theme,Inject services in every child for theme,<CascadingValue Value="@authState">,@inject in every component for auth,Medium,https://learn.microsoft.com/aspnet/core/blazor/security/#cascadingauthenticationstate
8,Components,Create Razor Class Libraries for shared UI,Package reusable components as RCL projects,RCL for cross-project component sharing,Copy-paste components between projects,dotnet new razorclasslib,Copy .razor files between solutions,Medium,https://learn.microsoft.com/aspnet/core/blazor/components/class-libraries
9,State,Minimize calls to StateHasChanged,Blazor auto-calls StateHasChanged after events; avoid redundant calls,Let framework handle re-render after events,Manual StateHasChanged after every change,await OnClick.InvokeAsync(value),StateHasChanged() after event handler,High,https://learn.microsoft.com/aspnet/core/blazor/components/rendering#suppress-ui-refreshing
10,State,Use cascading values for shared UI state,Share UI state like theme or sidebar status via cascading values,CascadingValue for layout-level UI state,Prop drilling layout state,<CascadingValue Value="@sidebarOpen">,Pass sidebarOpen through 5 components,Medium,
11,State,Dispose event subscriptions,Implement IDisposable to unsubscribe from events and services,@implements IDisposable with cleanup,Skip disposal of subscriptions,void Dispose() { service.OnChange -= Handler; },No IDisposable for subscriptions,High,https://learn.microsoft.com/aspnet/core/blazor/components/lifecycle#component-disposal-with-idisposable
12,State,Use state container services,Scoped service for state shared across components,Scoped state container injected via DI,Static fields for shared state,@inject AppState State,static AppState _state,Medium,https://learn.microsoft.com/aspnet/core/blazor/state-management#in-memory-state-container-service
13,State,Use PersistentComponentState for prerendering,Preserve state between prerender and interactive phases,PersistentComponentState for SSR data,Re-fetch data after prerender hydration,PersistentComponentState.RegisterOnPersisting,Fetch in OnInitializedAsync without persist,High,https://learn.microsoft.com/aspnet/core/blazor/components/prerender#persist-prerendered-state
14,State,Encode transient state in the URL,Use query parameters for filterable or shareable view state,Query parameters for search and filters,Component field for shareable state,NavigationManager with query string,private string filter = "" in component,Medium,
15,Rendering,Virtualize long lists,Virtualize component renders only visible items,<Virtualize> for 100+ item lists,Render all items in a loop,<Virtualize Items="items" Context="item">,@foreach (var item in largeList),High,https://learn.microsoft.com/aspnet/core/blazor/components/virtualization
16,Rendering,Set render mode per component,Apply InteractiveServer or InteractiveWebAssembly per component,.NET 8 @rendermode per component,Single global render mode,@rendermode InteractiveServer,Entire app as InteractiveServer,Medium,https://learn.microsoft.com/aspnet/core/blazor/components/render-modes
17,Rendering,Enable StreamRendering for slow data,Stream HTML updates as async data loads,@attribute [StreamRendering] for async pages,Block rendering until data loads,@attribute [StreamRendering(true)],await LongQuery() blocks entire render,Medium,https://learn.microsoft.com/aspnet/core/blazor/components/rendering#streaming-rendering
18,Rendering,Use @key for list diffing,@key helps Blazor preserve elements during list updates,@key on repeated elements with stable ID,Omit @key for dynamic lists,<li @key="item.Id">,<li> without @key in foreach,High,https://learn.microsoft.com/aspnet/core/blazor/components/#use-key-to-control-the-preservation-of-elements-and-components
19,Rendering,Use SectionOutlet for layout regions,SectionOutlet and SectionContent enable layout slot patterns,SectionOutlet for page-specific toolbar content,Cascading parameters for toolbar content,<SectionOutlet SectionName="toolbar" />,CascadingValue for toolbar slot,Low,https://learn.microsoft.com/aspnet/core/blazor/components/sections
20,Forms,Use EditForm with DataAnnotationsValidator,EditForm integrates model binding and validation,EditForm + DataAnnotationsValidator,Plain HTML form with manual validation,<EditForm Model="model"><DataAnnotationsValidator />,<form> with manual validation logic,High,https://learn.microsoft.com/aspnet/core/blazor/forms/
21,Forms,Use built-in Input components,InputText InputNumber InputDate provide binding and validation,InputText InputNumber InputSelect,Raw HTML input with @bind,<InputText @bind-Value="model.Name" />,<input @bind="model.Name" />,Medium,https://learn.microsoft.com/aspnet/core/blazor/forms/input-components
22,Forms,Show validation messages inline,Place ValidationMessage next to each field,ValidationMessage<> per field,Single validation summary only,<ValidationMessage For="() => model.Email" />,<ValidationSummary /> only,Medium,
23,Forms,Disable submit during processing,Prevent double submission while form processes,Disable button and show spinner on submit,Allow repeated clicks during submit,<button disabled="@isSubmitting">,<button type="submit"> always enabled,High,
24,Forms,Use EditContext for advanced scenarios,EditContext enables programmatic validation and state tracking,EditContext for custom validation flows,Rebuild EditForm for dynamic validation,var editContext = new EditContext(model),Recreate <EditForm> on each change,Medium,https://learn.microsoft.com/aspnet/core/blazor/forms/#editcontext
